year,weekssofar,ID,name,massey,normalizedMassey
2013,7,17,Miami Dolphins Offense,3.889007836,0.5001386167
2013,7,8,Cleveland Browns Offense,3.802413759,0.4968824381
2013,7,1,Arizona Cardinals Offense,3.398774009,0.4817044585
2013,7,22,New York Jets Offense,3.14764031,0.4722611315
2013,7,23,Las Vegas Raiders Offense,2.914349203,0.4634887357
2013,7,25,Pittsburgh Steelers Offense,2.759008785,0.457647503
2013,7,30,Tampa Bay Buccaneers Offense,1.488371816,0.4098680117
2013,7,15,Jacksonville Jaguars Offense,0.3080110633,0.3654831577
2013,7,37,Carolina Panthers Defense,-1.01779754,0.3156290591
2013,7,48,Kansas City Chiefs Defense,-1.757583909,0.2878110298
2013,7,52,New Orleans Saints Defense,-2.995876829,0.2412477648
2013,7,57,Pittsburgh Steelers Defense,-3.862347154,0.2086660657
2013,7,39,Cincinnati Bengals Defense,-3.91562727,0.2066625849
2013,7,61,Seattle Seahawks Defense,-4.001008826,0.2034520004
2013,7,62,Tampa Bay Buccaneers Defense,-4.0916582,0.2000433313
