season,weeksofar,teamID,team,massey,normalizedMassey
2013,10,30,Tampa Bay Buccaneers,-2.485652083,0.2965653825
2013,10,18,Minnesota Vikings,-2.490565517,0.296074039
2013,10,4,Buffalo Bills,-2.939115172,0.2512190735
2013,10,15,Jacksonville Jaguars,-5.451305907,0
2013,11,10,Denver Broncos,4.72647248,1
2013,11,16,Kansas City Chiefs,3.286089169,0.8559616689
2013,11,29,Seattle Seahawks,3.282229964,0.8555757483
2013,11,20,New Orleans Saints,2.813397398,0.8086924917
2013,11,5,Carolina Panthers,2.745818999,0.8019346519
2013,11,28,San Francisco 49ers,2.480520872,0.7754048392
2013,11,9,Dallas Cowboys,1.281664397,0.6555191917
2013,11,7,Cincinnati Bengals,1.24972828,0.6523255799
2013,11,3,Baltimore Ravens,1.233453048,0.6506980567
2013,11,19,New England Patriots,1.172751446,0.6446278965
2013,11,14,Indianapolis Colts,0.7134396237,0.5986967143
2013,11,24,Philadelphia Eagles,0.552446001,0.5825973521
2013,11,1,Arizona Cardinals,0.3371076455,0.5610635165
2013,11,6,Chicago Bears,0.3298236236,0.5603351143
2013,11,11,Detroit Lions,0.1701659107,0.544369343
2013,11,12,Green Bay Packers,-0.04883070279,0.5224696817
2013,11,17,Miami Dolphins,-0.1778972872,0.5095630232
2013,11,21,New York Giants,-0.34874617,0.492478135
2013,11,27,Los Angeles Chargers,-0.3697193853,0.4903808134
2013,11,23,Las Vegas Raiders,-0.8494450253,0.4424082494
2013,11,26,Los Angeles Rams,-0.9940511043,0.4279476415
2013,11,8,Cleveland Browns,-1.190490045,0.4083037475
2013,11,25,Pittsburgh Steelers,-1.239927928,0.4033599592
2013,11,2,Atlanta Falcons,-1.674733106,0.3598794413
2013,11,30,Tampa Bay Buccaneers,-1.755126441,0.3518401078
2013,11,31,Tennessee Titans,-1.767636243,0.3505891276
2013,11,13,Houston Texans,-1.837158752,0.3436368767
2013,11,32,Washington Commanders,-1.855571352,0.3417956168
2013,11,4,Buffalo Bills,-2.065502028,0.3208025492
2013,11,22,New York Jets,-2.316682369,0.295684515
2013,11,18,Minnesota Vikings,-2.610063399,0.2663464121
2013,11,15,Jacksonville Jaguars,-5.27352752,0
2013,12,10,Denver Broncos,4.680025626,1
2013,12,29,Seattle Seahawks,4.134210752,0.9454185126
2013,12,20,New Orleans Saints,3.436806991,0.8756781365
2013,12,5,Carolina Panthers,3.39844381,0.8718418183
2013,12,28,San Francisco 49ers,3.20847631,0.8528450684
2013,12,16,Kansas City Chiefs,2.966945487,0.8286919861
2013,12,19,New England Patriots,1.891543048,0.7211517421
2013,12,3,Baltimore Ravens,1.441680852,0.6761655226
2013,12,9,Dallas Cowboys,1.40955932,0.6729533694
2013,12,1,Arizona Cardinals,1.395137765,0.6715112138
2013,12,7,Cincinnati Bengals,1.342072453,0.6662046826
2013,12,14,Indianapolis Colts,0.3699143836,0.5689888757
2013,12,24,Philadelphia Eagles,0.3305970335,0.5650571407
2013,12,11,Detroit Lions,-0.1829019692,0.5137072404
2013,12,27,Los Angeles Chargers,-0.1967321904,0.5123242183
2013,12,6,Chicago Bears,-0.2265668178,0.5093407556
2013,12,26,Los Angeles Rams,-0.3200735882,0.4999900785
2013,12,12,Green Bay Packers,-0.3267110668,0.4993263307
2013,12,17,Miami Dolphins,-0.3594951176,0.4960479256
2013,12,21,New York Giants,-0.809783438,0.4510190936
2013,12,25,Pittsburgh Steelers,-0.8279792723,0.4491995101
2013,12,31,Tennessee Titans,-1.338803395,0.3981170979
2013,12,30,Tampa Bay Buccaneers,-1.416608661,0.3903365713
2013,12,2,Atlanta Falcons,-1.547664679,0.3772309694
2013,12,23,Las Vegas Raiders,-1.556090558,0.3763883816
2013,12,8,Cleveland Browns,-2.213753573,0.31062208
2013,12,4,Buffalo Bills,-2.381332394,0.2938641979
2013,12,13,Houston Texans,-2.521170492,0.2798803881
2013,12,32,Washington Commanders,-2.623485672,0.2696488702
2013,12,22,New York Jets,-2.787299553,0.2532674821
2013,12,18,Minnesota Vikings,-3.048987021,0.2270987353
2013,12,15,Jacksonville Jaguars,-5.319974374,0
2013,13,10,Denver Broncos,5.187807605,1
2013,13,29,Seattle Seahawks,4.691375367,0.9503567762
2013,13,28,San Francisco 49ers,3.669841655,0.848203405
2013,13,5,Carolina Panthers,3.668527961,0.8480720356
2013,13,20,New Orleans Saints,3.157130723,0.7969323118
2013,13,16,Kansas City Chiefs,2.57598398,0.7388176375
2013,13,19,New England Patriots,1.851862773,0.6664055168
2013,13,9,Dallas Cowboys,1.732889956,0.6545082351
2013,13,7,Cincinnati Bengals,1.59140572,0.6403598115
2013,13,1,Arizona Cardinals,1.543378149,0.6355570544
